ImageFileName,Red_Channel_Distribution,Green_Channel_Distribution,Blue_Channel_Distribution,Uninfected_Edge_Density,Uninfected_MeanBlobSize,Uninfected_MaxBlobSize
C102P63ThinF_IMG_20150918_162051_cell_32.png,138.6464,84.4256,118.2016,0.1456,1.5,2.0
C102P63ThinF_IMG_20150918_162051_cell_65.png,151.4368,103.4016,119.5232,0.1792,2.0,2.0
C102P63ThinF_IMG_20150918_162051_cell_79.png,140.4176,92.52,114.6752,0.1424,1.5,2.0
C102P63ThinF_IMG_20150918_162051_cell_9.png,143.4752,97.4704,114.8592,0.2128,2.0,2.0
C102P63ThinF_IMG_20150918_162155_cell_116.png,122.4752,78.92,103.3584,0.136,2.0,2.0
C102P63ThinF_IMG_20150918_162155_cell_119.png,152.0672,92.1984,116.808,0.144,2.0,2.0
C102P63ThinF_IMG_20150918_162155_cell_32.png,113.7696,71.3632,92.1008,0.152,1.1428571428571428,2.0
C102P63ThinF_IMG_20150918_162155_cell_76.png,138.9824,81.6096,107.7152,0.16,1.6,2.0
C102P63ThinF_IMG_20150918_162300_cell_111.png,137.496,92.6336,113.8688,0.1568,1.25,2.0
C102P63ThinF_IMG_20150918_162300_cell_12.png,142.6992,88.9456,113.5408,0.2,1.5,2.0
C102P63ThinF_IMG_20150918_162300_cell_129.png,139.5696,96.3552,118.1088,0.1392,2.0,2.0
C102P63ThinF_IMG_20150918_162300_cell_13.png,130.8848,81.1968,107.1488,0.1568,2.0,2.0
C102P63ThinF_IMG_20150918_162300_cell_15.png,132.808,77.0896,107.6992,0.1552,2.0,2.0
C102P63ThinF_IMG_20150918_162300_cell_29.png,121.3376,79.9456,101.048,0.1648,2.0,2.0
C102P63ThinF_IMG_20150918_162300_cell_4.png,148.1392,99.6848,121.1056,0.16,1.0,1.0
C102P63ThinF_IMG_20150918_162511_cell_102.png,116.5456,73.1568,92.2848,0.1648,1.0,2.0
C102P63ThinF_IMG_20150918_162511_cell_157.png,115.7904,79.7632,96.9008,0.168,1.4285714285714286,2.0
C102P63ThinF_IMG_20150918_162511_cell_36.png,115.5056,81.072,98.184,0.1904,1.5,2.0
C102P63ThinF_IMG_20150918_162511_cell_56.png,133.0224,84.9344,102.9952,0.2064,1.6666666666666667,2.0
C102P63ThinF_IMG_20150918_162511_cell_59.png,121.4064,75.1904,95.2896,0.1632,1.0,2.0
C102P63ThinF_IMG_20150918_162511_cell_93.png,141.1968,86.9248,108.5024,0.2064,2.0,2.0
C102P63ThinF_IMG_20150918_163054_cell_127.png,119.6848,78.744,94.9968,0.1456,0.6666666666666666,2.0
C102P63ThinF_IMG_20150918_163054_cell_134.png,148.5424,97.3824,113.6304,0.2208,1.5,2.0
C102P63ThinF_IMG_20150918_163054_cell_159.png,135.016,83.9616,105.6512,0.1424,1.6,2.0
C102P63ThinF_IMG_20150918_163054_cell_25.png,110.44,73.3888,86.688,0.1488,2.0,2.0
C102P63ThinF_IMG_20150918_163054_cell_71.png,135.9664,86.9568,112.3056,0.152,2.0,2.0
C102P63ThinF_IMG_20150918_163054_cell_83.png,128.1328,80.6624,100.4368,0.144,1.3333333333333333,2.0
C103P64ThinF_IMG_20150918_164250_cell_121.png,162.9968,120.8944,118.6768,0.136,1.0,1.0
C103P64ThinF_IMG_20150918_164250_cell_128.png,157.2176,115.1024,113.0,0.1456,0.0,0.0
C103P64ThinF_IMG_20150918_164250_cell_15.png,160.6576,118.0864,113.3568,0.136,1.5,2.0
C103P64ThinF_IMG_20150918_164250_cell_153.png,150.0304,111.8944,107.6592,0.1424,0.0,0.0
C103P64ThinF_IMG_20150918_164250_cell_164.png,151.728,114.688,108.512,0.1488,1.5,2.0
C103P64ThinF_IMG_20150918_164250_cell_19.png,132.072,93.5808,91.0592,0.1376,1.0,2.0
C103P64ThinF_IMG_20150918_164250_cell_28.png,149.5536,108.5936,105.576,0.1408,1.3333333333333333,2.0
C103P64ThinF_IMG_20150918_164250_cell_39.png,112.4208,82.384,83.496,0.1616,2.0,2.0
C103P64ThinF_IMG_20150918_164331_cell_116.png,137.8192,98.9328,97.7312,0.1408,0.0,0.0
C103P64ThinF_IMG_20150918_164331_cell_119.png,164.5424,118.8912,117.4448,0.136,0.0,0.0
C103P64ThinF_IMG_20150918_164331_cell_160.png,154.744,106.9568,108.44,0.1296,1.5,2.0
C103P64ThinF_IMG_20150918_164331_cell_172.png,140.0688,99.9264,99.192,0.1344,0.0,0.0
C103P64ThinF_IMG_20150918_164331_cell_27.png,154.7856,107.584,108.7536,0.136,1.0,2.0
C103P64ThinF_IMG_20150918_164331_cell_35.png,133.2272,97.416,95.368,0.1632,1.0,2.0
C103P64ThinF_IMG_20150918_164331_cell_72.png,159.224,114.96,112.8864,0.1344,1.3333333333333333,2.0
C103P64ThinF_IMG_20150918_164553_cell_133.png,129.3296,92.0128,90.9488,0.152,1.3333333333333333,2.0
C103P64ThinF_IMG_20150918_164553_cell_145.png,168.1984,126.048,121.2976,0.1248,1.0,1.0
C103P64ThinF_IMG_20150918_164553_cell_148.png,142.264,104.4384,102.624,0.1328,1.6666666666666667,2.0
C103P64ThinF_IMG_20150918_164553_cell_155.png,166.8976,119.7168,118.4464,0.1184,0.0,0.0
C103P64ThinF_IMG_20150918_164553_cell_160.png,157.1936,114.8976,112.6608,0.168,1.0,2.0
C103P64ThinF_IMG_20150918_164553_cell_35.png,155.8304,112.2608,114.4224,0.1408,1.0,2.0
C103P64ThinF_IMG_20150918_164553_cell_42.png,169.4608,121.0176,121.2944,0.12,1.3333333333333333,2.0
C103P64ThinF_IMG_20150918_164553_cell_45.png,126.4048,87.1088,88.9856,0.1408,0.0,0.0
C103P64ThinF_IMG_20150918_164553_cell_46.png,153.2272,106.4768,106.504,0.1408,1.0,1.0
C103P64ThinF_IMG_20150918_165016_cell_107.png,164.9536,124.9488,120.312,0.1248,0.0,0.0
C103P64ThinF_IMG_20150918_165016_cell_139.png,147.9792,106.8176,101.8976,0.1312,1.0,2.0
C103P64ThinF_IMG_20150918_165016_cell_3.png,157.6832,119.5952,112.6016,0.1328,1.3333333333333333,2.0
C103P64ThinF_IMG_20150918_165016_cell_31.png,150.4976,108.9296,106.7264,0.1456,0.0,0.0
C103P64ThinF_IMG_20150918_165016_cell_77.png,144.6624,105.9344,101.1584,0.1504,0.0,0.0
C103P64ThinF_IMG_20150918_165016_cell_84.png,131.6128,93.8096,90.4352,0.144,0.0,0.0
C103P64ThinF_IMG_20150918_165016_cell_92.png,159.9616,113.1728,109.4384,0.1376,1.0,2.0
C103P64ThinF_IMG_20150918_165125_cell_105.png,146.384,104.432,100.6288,0.1424,1.0,1.0
C103P64ThinF_IMG_20150918_165125_cell_117.png,163.752,117.7712,113.7056,0.1296,1.6,2.0
C103P64ThinF_IMG_20150918_165125_cell_12.png,138.8336,98.7776,95.5296,0.1424,0.0,0.0
C103P64ThinF_IMG_20150918_165125_cell_121.png,148.6512,107.28,103.0848,0.1584,0.0,0.0
C103P64ThinF_IMG_20150918_165125_cell_132.png,135.0192,95.2816,91.4096,0.1376,1.6,2.0
C103P64ThinF_IMG_20150918_165125_cell_143.png,144.8912,105.0432,99.5968,0.1392,0.0,0.0
C103P64ThinF_IMG_20150918_165125_cell_156.png,151.384,107.6512,102.408,0.136,0.0,0.0
C103P64ThinF_IMG_20150918_165125_cell_86.png,140.176,100.6736,98.408,0.136,1.0,2.0
C103P64ThinF_IMG_20150918_165510_cell_14.png,161.3456,116.6192,111.808,0.1312,1.5,2.0
C103P64ThinF_IMG_20150918_165510_cell_146.png,135.2048,100.3152,94.96,0.144,1.0,2.0
C103P64ThinF_IMG_20150918_165510_cell_161.png,138.6736,104.328,98.792,0.1456,0.0,0.0
C103P64ThinF_IMG_20150918_165510_cell_163.png,133.0992,98.3168,96.024,0.1568,1.5,2.0
C103P64ThinF_IMG_20150918_165510_cell_65.png,143.6944,110.3744,102.7808,0.1216,1.0,2.0
C103P64ThinF_IMG_20150918_165510_cell_67.png,148.4192,108.3168,104.9008,0.1376,1.3333333333333333,2.0
C103P64ThinF_IMG_20150918_165510_cell_98.png,159.3216,120.6256,113.4064,0.128,1.5,2.0
C104P65ThinF_IMG_20150918_170850_cell_140.png,173.448,132.216,124.1344,0.1072,1.0,1.0
C104P65ThinF_IMG_20150918_170850_cell_167.png,154.5344,116.5328,108.3968,0.144,0.0,0.0
C104P65ThinF_IMG_20150918_170850_cell_189.png,146.2816,108.4272,103.248,0.1552,1.3333333333333333,2.0
C104P65ThinF_IMG_20150918_170850_cell_29.png,155.7808,110.4576,107.1136,0.1472,1.0,1.0
C104P65ThinF_IMG_20150918_170850_cell_32.png,161.7072,120.5648,114.8944,0.1376,1.0,1.0
C104P65ThinF_IMG_20150918_170850_cell_68.png,144.24,106.4608,99.56,0.1424,0.0,0.0
C104P65ThinF_IMG_20150918_170850_cell_83.png,159.6576,120.5968,113.408,0.1312,0.0,0.0
C104P65ThinF_IMG_20150918_171154_cell_141.png,159.2176,117.0624,111.1792,0.136,1.0,1.0
C104P65ThinF_IMG_20150918_171154_cell_144.png,129.6256,96.0944,93.4928,0.144,1.0,2.0
C104P65ThinF_IMG_20150918_171154_cell_154.png,159.608,115.2768,109.5232,0.136,1.6,2.0
C104P65ThinF_IMG_20150918_171154_cell_190.png,167.376,129.7392,119.8432,0.1152,1.0,1.0
C104P65ThinF_IMG_20150918_171154_cell_3.png,159.512,118.5376,113.0608,0.1328,1.0,1.0
C104P65ThinF_IMG_20150918_171154_cell_4.png,153.7376,113.6352,108.0816,0.1344,0.0,0.0
C104P65ThinF_IMG_20150918_171154_cell_88.png,132.3808,98.7648,91.8256,0.1488,0.0,0.0
C104P65ThinF_IMG_20150918_171154_cell_93.png,160.8352,120.304,112.1216,0.1232,1.0,1.0
C104P65ThinF_IMG_20150918_171751_cell_102.png,163.0816,123.9296,116.3232,0.1328,1.0,1.0
C104P65ThinF_IMG_20150918_171751_cell_105.png,166.3152,121.9408,116.3424,0.1312,0.0,0.0
C104P65ThinF_IMG_20150918_171751_cell_106.png,162.7376,119.6448,113.3984,0.1312,1.0,1.0
C104P65ThinF_IMG_20150918_171751_cell_109.png,165.176,120.0064,114.7024,0.1312,1.0,1.0
C104P65ThinF_IMG_20150918_171751_cell_31.png,169.4176,127.8208,121.8896,0.1168,0.0,0.0
C104P65ThinF_IMG_20150918_171751_cell_49.png,143.0112,108.3056,103.3232,0.1392,1.5,2.0
C104P65ThinF_IMG_20150918_171751_cell_54.png,148.7632,112.888,108.5312,0.1264,0.0,0.0
C104P65ThinF_IMG_20150918_172053_cell_114.png,156.6976,114.68,107.3056,0.1392,0.0,0.0
C104P65ThinF_IMG_20150918_172053_cell_17.png,160.5088,117.5696,111.0832,0.1312,1.0,1.0
C104P65ThinF_IMG_20150918_172053_cell_184.png,151.9648,112.3568,103.9232,0.1392,1.0,1.0
C104P65ThinF_IMG_20150918_172053_cell_31.png,140.3632,103.3264,97.1008,0.1504,0.0,0.0
C104P65ThinF_IMG_20150918_172053_cell_35.png,169.9872,129.8128,121.0672,0.1328,1.0,1.0
C104P65ThinF_IMG_20150918_172214_cell_1.png,142.6208,107.2448,103.8624,0.1536,0.0,0.0
C104P65ThinF_IMG_20150918_172214_cell_147.png,163.5728,121.8208,116.5952,0.136,1.0,1.0
C104P65ThinF_IMG_20150918_172214_cell_153.png,156.112,113.7424,108.1456,0.152,1.0,1.0
C104P65ThinF_IMG_20150918_172214_cell_27.png,157.6432,120.3968,111.9008,0.1296,1.0,1.0
C104P65ThinF_IMG_20150918_172214_cell_50.png,149.5232,112.0208,105.9552,0.1392,1.6,2.0
C104P65ThinF_IMG_20150918_172214_cell_66.png,162.92,121.3136,113.16,0.1328,1.0,2.0
C104P65ThinF_IMG_20150918_172214_cell_99.png,163.3424,118.0272,112.208,0.1328,1.0,1.0
C104P65ThinF_IMG_20150918_172247_cell_12.png,158.2528,116.5376,111.4928,0.1296,1.0,1.0
C104P65ThinF_IMG_20150918_172247_cell_126.png,158.6576,116.576,110.7008,0.1328,0.0,0.0
C104P65ThinF_IMG_20150918_172247_cell_135.png,135.5632,96.2912,93.2112,0.1504,1.3333333333333333,2.0
C104P65ThinF_IMG_20150918_172247_cell_145.png,146.7376,108.3968,102.7104,0.1328,1.5,2.0
C104P65ThinF_IMG_20150918_172247_cell_69.png,167.112,123.8528,114.8448,0.1216,1.0,1.0
C104P65ThinF_IMG_20150918_172247_cell_85.png,128.632,95.6832,91.6688,0.168,1.3333333333333333,2.0
C104P65ThinF_IMG_20150918_172537_cell_111.png,164.5552,120.2016,112.68,0.1264,1.0,2.0
C104P65ThinF_IMG_20150918_172537_cell_126.png,162.7008,118.4816,111.6144,0.1312,1.0,1.0
C104P65ThinF_IMG_20150918_172537_cell_132.png,163.3504,125.3232,115.3056,0.136,1.0,1.0
C104P65ThinF_IMG_20150918_172537_cell_133.png,162.2672,125.9232,117.6208,0.1152,0.0,0.0
C104P65ThinF_IMG_20150918_172537_cell_33.png,165.3184,125.7824,119.3536,0.1296,1.0,1.0
C104P65ThinF_IMG_20150918_172537_cell_67.png,154.4144,112.1584,106.4064,0.1632,1.0,1.0
C104P65ThinF_IMG_20150918_172639_cell_167.png,139.5504,104.7536,100.568,0.1408,0.0,0.0
C104P65ThinF_IMG_20150918_172639_cell_34.png,163.5888,123.5136,116.6752,0.1328,1.3333333333333333,2.0
C104P65ThinF_IMG_20150918_172639_cell_44.png,142.9648,106.1648,102.6384,0.1456,1.3333333333333333,2.0
C104P65ThinF_IMG_20150918_172639_cell_93.png,145.9248,108.1536,102.296,0.1424,1.3333333333333333,2.0
C104P65ThinF_IMG_20150918_172639_cell_95.png,159.8544,121.4576,113.3664,0.1376,1.0,1.0
C105P66ThinF_IMG_20150924_094800_cell_11.png,155.056,118.2,110.9472,0.1952,0.0,0.0
C105P66ThinF_IMG_20150924_094800_cell_132.png,153.0048,114.6448,109.7888,0.144,1.6,2.0
C105P66ThinF_IMG_20150924_094800_cell_62.png,163.0848,123.7024,120.4736,0.1344,1.0,1.0
C105P66ThinF_IMG_20150924_094800_cell_63.png,156.3344,118.0768,116.424,0.136,0.0,0.0
C105P66ThinF_IMG_20150924_094800_cell_70.png,146.7664,109.5136,105.2128,0.1536,1.0,2.0
C105P66ThinF_IMG_20150924_094800_cell_90.png,156.2608,118.848,116.5472,0.1344,1.3333333333333333,2.0
C105P66ThinF_IMG_20150924_094944_cell_14.png,146.7232,107.0544,102.4688,0.1392,1.0,1.0
C105P66ThinF_IMG_20150924_094944_cell_25.png,142.952,103.9936,100.3168,0.136,0.0,0.0
C105P66ThinF_IMG_20150924_094944_cell_37.png,157.448,120.4128,115.5648,0.1376,1.0,1.0
C105P66ThinF_IMG_20150924_094944_cell_41.png,131.632,99.7312,95.456,0.1488,0.5,1.0
C105P66ThinF_IMG_20150924_094944_cell_72.png,136.1856,103.3808,99.2336,0.1456,1.3333333333333333,2.0
C105P66ThinF_IMG_20150924_094944_cell_97.png,101.5328,75.8112,71.5824,0.1392,1.5,2.0
C105P66ThinF_IMG_20150924_095034_cell_112.png,148.2848,109.2896,102.3328,0.1424,1.5,2.0
C105P66ThinF_IMG_20150924_095034_cell_127.png,127.7744,94.7792,92.7184,0.1504,1.5,2.0
C105P66ThinF_IMG_20150924_095034_cell_133.png,149.7744,111.8864,108.1392,0.144,1.0,1.0
C105P66ThinF_IMG_20150924_095034_cell_23.png,140.5936,109.0784,99.688,0.1392,1.6666666666666667,2.0
